address,email,hours,image,lat,lng,name,phone,url,id,image_path
"2602 Davison Rd Flint, Mi 48506",,"Mon - Sun, 11am - 9pm",\x,43.0327528,-83.6573265,Southern Pride Market Inc,810-515-1587,,25,https://flinteats.nyc3.digitaloceanspaces.com/prod/market_25.png
"4400 S Saginaw St Flint, Mi 48507",,"Mon-Fri, 9am - 5pm",\x,42.98388020000001,-83.67714749999999,Discount Rx Pharmacy,(810) 239-2667,,29,https://flinteats.nyc3.digitaloceanspaces.com/prod/market_29.png
"3717 Fenton Rd Flint, Mi 48507",,"Mon - Sun, 8am -10pm",\x,42.989131,-83.6924339,Rite Aid #4438,(810) 232-5118,,31,https://flinteats.nyc3.digitaloceanspaces.com/prod/market_31.png
"1124 N Ballenger Hwy Flint, Mi 48504",,"Mon - Sun, 8am -10pm",\x,43.0251211,-83.7307883,Rite Aid Pharmacy #4761,(810) 233-6765,,35,https://flinteats.nyc3.digitaloceanspaces.com/prod/market_35.png
"2838 E Court St Flint, Mi 48503",,"Mon - Sun, 8am -10pm",\x,43.01772709999999,-83.6533657,Rite Aid Discount Pharmacy #4504,(810) 767-3059,,37,https://flinteats.nyc3.digitaloceanspaces.com/prod/market_37.png
"3521 Corunna Rd Flint, Mi 48503",,"Mon - Sun, 8am -10pm",\x,43.0019335,-83.73260789999999,Rite Aid Discount Pharmacy #4588,(810) 235-6363,,41,https://flinteats.nyc3.digitaloceanspaces.com/prod/market_41.png
"1013 W Pierson Rd Flint, Mi 48505",,"Mon - Sat, 7am - 11pm; Sun, 12pm - 8pm",\x,43.0606437,-83.7176305,Mikes Grocery Inc,(810) 789-5406,,43,https://flinteats.nyc3.digitaloceanspaces.com/prod/market_43.png
"3007 N Franklin Ave Flint, Mi 48506",,"Mon - Sat, 9am - 2am; Sun, 11am - 2am",\x,43.042662,-83.6656363,Z'S Liquor Mart,(810) 285-9957,,47,https://flinteats.nyc3.digitaloceanspaces.com/prod/market_47.png
"101 E Pierson Flint, Mi 48505",,"Mon - Sat, 7am - 2am; Sun, 8am -12pm",\x,43.0614272,-83.70425519999999,Sims Market,(810) 787-2275,,49,https://flinteats.nyc3.digitaloceanspaces.com/prod/market_49.png
"3302 S Dort Hwy Flint, Mi 48507",,,\x,42.9928915,-83.6541477,Liquor Palace Of Flint,(810) 820-9861,,53,https://flinteats.nyc3.digitaloceanspaces.com/prod/market_53.png
